Name,Quantity,Unit,Cocktail
Pisco,1 1/2,oz,"1,001 Tiaras"
Parfait Amour,1/2,oz,"1,001 Tiaras"
Lemon Juice,3/4,oz,"1,001 Tiaras"
Ginger Syrup,1/2,oz,"1,001 Tiaras"
Bitters,2,ds,"1,001 Tiaras"
Raspberry,2,un,"1,001 Tiaras"
Mezcal,1,oz,2 Cents
Sweet Vermouth,1/2,oz,2 Cents
Applejack,1/2,oz,2 Cents
White Creme De Cacao,1/4,oz,2 Cents
Fernet Branca,1,bsp,2 Cents
Bitters,1,ds,2 Cents
Mezcal,3/4,oz,2 Cups of Blood
Suze,3/4,oz,2 Cups of Blood
Sweet Vermouth,3/4,oz,2 Cups of Blood
Bitters,3/4,oz,2 Cups of Blood
Agave Syrup,1,bsp,2 Cups of Blood
Grapefruit Peel,1,twst,2 Cups of Blood
Aperol,1 1/2,oz,2 to 2
Absinthe,1,oz,2 to 2
Lemon Juice,1,oz,2 to 2
Simple Syrup,1/4,oz,2 to 2
Orange Bitters,1,ds,2 to 2
Orange Peel,1,twst,2 to 2
Cognac,1 1/2,oz,2amMIDWATCH
Grapefruit Liqueur,1,oz,2amMIDWATCH
Creme De Violette,3/4,oz,2amMIDWATCH
Campari,1/2,oz,2amMIDWATCH
Cranberry Bitters,3,ds,2amMIDWATCH
Rye,1 1/2,oz,3-2-1
Herbal Liqueur,1,oz,3-2-1
Dry Vermouth,1/2,oz,3-2-1
Gin,1 1/2,oz,(the) 3:10
Walnut Liqueur,3/4,oz,(the) 3:10
Pomegranate Juice,1 1/2,oz,(the) 3:10
Sherry Vinegar,1/8,oz,(the) 3:10
Scotch,3/4,oz,3:20 in the Morning
Apple Brandy,3/4,oz,3:20 in the Morning
Drambuie,3/4,oz,3:20 in the Morning
Cynar,3/4,oz,3:20 in the Morning
Lemon Juice,3/4,oz,3:20 in the Morning
Honey Syrup,1/4,oz,3:20 in the Morning
Lemon Peel,1,twst,3:20 in the Morning
Gold Rum,2,oz,3 B's
Overproof Bourbon,1/3,oz,3 B's
Amaro Montenegro,1/4,oz,3 B's
Campari,1/4,oz,3 B's
Pacharan,1/4,oz,3 B's
Bergamot Liqueur,1,oz,3 Day Weekend
Light Rum,1,oz,3 Day Weekend
Lime Juice,1/2,oz,3 Day Weekend
Grapefruit Juice,3/4,oz,3 Day Weekend
Orgeat,1,t,3 Day Weekend
Aquafaba,1/2,oz,3 Day Weekend
Tequila,2,oz,3 o'clock
Lime Juice,1,oz,3 o'clock
Egg White,1,oz,3 o'clock
Framboise,1/2,oz,3 o'clock
Agave Syrup,1/2,oz,3 o'clock
Bitters,6,dr,3 o'clock
Speyside Scotch,1 2/3,oz,3 Pilares
Bianco Vermouth,1,oz,3 Pilares
Orange Bitters,2,ds,3 Pilares
Cherry,1,un,3 Pilares
Gin,1 1/2,oz,3G
Elderflower Liqueur,1,oz,3G
Ginger Liqueur,1/2,oz,3G
Absinthe,1,rinse,3G
Mezcal,1,oz,4-3-1
Elderflower Liqueur,3/4,oz,4-3-1
Ramazzotti,1/4,oz,4-3-1
Gin,1,oz,4th and Clyde
Bourbon,1,oz,4th and Clyde
Elderflower Liqueur,1,oz,4th and Clyde
Honey,1,bsp,4th and Clyde
Chili Pepper,1,pn,4th and Clyde
Tequila,1,oz,4x1
Aperol,1,oz,4x1
Sweet Vermouth,1,oz,4x1
Grapefruit Juice,1,oz,4x1
Gin,2 1/2,oz,5 O'Clock Tea
Heavy Whipping Cream,3/4,oz,5 O'Clock Tea
Jamaican #1 Bitters,2,dr,5 O'Clock Tea
Brown Sugar,2,t,5 O'Clock Tea
Martinique Rum,2,oz,5 Spot
Maple Syrup,3/8,oz,5 Spot
Water,3/8,oz,5 Spot
Lime Juice,3/4,oz,5 Spot
Ginger Syrup,1/4,oz,5 Spot
Bitters,6,ds,5 Spot
Basil,4,lf,5 Spot
Pisco,1 1/2,oz,5 Wise Men
Cranberry Juice,1,oz,5 Wise Men
Lemon Juice,1/2,oz,5 Wise Men
Demerara Syrup,3/4,oz,5 Wise Men
Sage,3,lf,5 Wise Men
Club Soda,2,oz,5 Wise Men
Sage,1,spg,5 Wise Men
Bourbon,1 3/4,oz,5th Amendment
Herbal Liqueur,1/4,oz,5th Amendment
Fernet Branca,1/4,oz,5th Amendment
Falernum,1/2,oz,5th Amendment
Bitters,2,ds,5th Amendment
Lemon Peel,1,twst,5th Amendment
Mezcal,1 1/2,oz,7 Days to Go
Curacao,1 1/2,oz,7 Days to Go
Pineapple Juice,1 1/2,oz,7 Days to Go
Lime Juice,1/2,oz,7 Days to Go
Bitters,2,ds,7 Days to Go
Amaro Meletti,1/4,oz,8 Amaro Sazerac
Aperol,1/4,oz,8 Amaro Sazerac
Amaro Dell'erborista,1/4,oz,8 Amaro Sazerac
Ramazzotti,1/4,oz,8 Amaro Sazerac
Campari,1/4,oz,8 Amaro Sazerac
Amaro Sibilla,1/4,oz,8 Amaro Sazerac
Ciociaro,1/4,oz,8 Amaro Sazerac
Amaro Montenegro,1/4,oz,8 Amaro Sazerac
Peychaud's Bitters,4,ds,8 Amaro Sazerac
Orange Cream Citrate,1,ds,8 Amaro Sazerac
Herbal Liqueur,1,rinse,8 Amaro Sazerac
Cognac,1 1/2,oz,8th Arrondissement
Grenadine,1/2,oz,8th Arrondissement
Amer Picon,1/2,oz,8th Arrondissement
Lemon Juice,1/2,oz,8th Arrondissement
Orange Peel,1,twst,8th Arrondissement
Pisco,1 1/2,oz,8th and Collins
Genever,1/2,oz,8th and Collins
Lemon Juice,3/4,oz,8th and Collins
Simple Syrup,3/4,oz,8th and Collins
Bitters,2,ds,8th and Collins
Egg White,1,un,8th and Collins
Herbal Liqueur,1 1/2,oz,9th Floor B/504
Aromatized Wine,1,oz,9th Floor B/504
Pomegranate Juice,1,oz,9th Floor B/504
Lavender Syrup,1/2,oz,9th Floor B/504
Cranberry Bitters,3,ds,9th Floor B/504
Gin,2,oz,10 Penny Mule
Ginger Liqueur,1/2,oz,10 Penny Mule
Lemon Juice,1/2,oz,10 Penny Mule
Mint,6,lf,10 Penny Mule
Ginger Beer,4,oz,10 Penny Mule
Mint,1,spg,10 Penny Mule
Lemon,1,sli,10 Penny Mule
Gin,1,part,15 Second Punch
Campari,1,part,15 Second Punch
Elderflower Liqueur,1,part,15 Second Punch
Grapefruit Juice,1,part,15 Second Punch
Lemon Juice,1,part,15 Second Punch
Batavia Arrack,1 1/2,oz,17th Century Cocktail
Manzanilla Sherry,1,oz,17th Century Cocktail
Orgeat,1/4,oz,17th Century Cocktail
Blended Scotch,3,oz,The 18th Alchemist
Dr Bitters,,18,The 18th Alchemist
Demerara Syrup,1,oz,The 18th Alchemist
Water,7,oz,The 18th Alchemist
Un Coffee,,21,The 18th Alchemist
Batavia Arrack,1 1/2,oz,18th Century
Creme De Cacao,3/4,oz,18th Century
Sweet Vermouth,3/4,oz,18th Century
Lime Juice,3/4,oz,18th Century
Gin,1 1/2,oz,19th Century
Herbal Liqueur,3/4,oz,19th Century
Pear Liqueur,3/4,oz,19th Century
White Creme De Cacao,1/4,oz,19th Century
Lemon Juice,1/2,oz,19th Century
Lemon Peel,1,twst,19th Century
Bourbon,1 1/2,oz,19th Century (Pegu Club)
Lemon Juice,3/4,oz,19th Century (Pegu Club)
Creme De Cacao,3/4,oz,19th Century (Pegu Club)
Aromatized Wine,3/4,oz,19th Century (Pegu Club)
Blanco Tequila,2,oz,21st Century
Creme De Cacao,3/4,oz,21st Century
Lemon Juice,3/4,oz,21st Century
Pastis,1,rinse,21st Century
Gin,1,oz,23 Skiddoo
Elderflower Liqueur,1/2,oz,23 Skiddoo
Simple Syrup,1/4,oz,23 Skiddoo
Lemon Juice,1/4,oz,23 Skiddoo
Sparkling White Wine,3,oz,23 Skiddoo
Thyme,1,spg,23 Skiddoo
Scotch,1,oz,25th Hour
Tawny Port,2/3,oz,25th Hour
Amaro Nonino,1/2,oz,25th Hour
Maraschino Liqueur,1,bsp,25th Hour
Rum,2,oz,32 Down
Whiskey,1,oz,32 Down
Ginger Ale,2,oz,32 Down
Bitters,2,ds,32 Down
Gin,1 1/2,oz,32nd Street
Junmai Sake,1,oz,32nd Street
Dark Creme De Cacao,3/4,oz,32nd Street
Lime Cordial,3/4,oz,32nd Street
Lemongrass,1,bsp,32nd Street
Blended Scotch,2 3/8,oz,.38 Special
Herbal Liqueur,3/8,oz,.38 Special
Ciociaro,3/8,oz,.38 Special
Lemon Peel,1,twst,.38 Special
Gin,2,oz,The 40th Lady
Triple Sec,1,oz,The 40th Lady
Lemon Juice,3/4,oz,The 40th Lady
Simple Syrup,1/4,oz,The 40th Lady
Egg White,1,un,The 40th Lady
Jamaican #1 Bitters,1,ds,The 40th Lady
Gin,2 1/2,oz,#42
Dry Vermouth,1/4,oz,#42
Honey Syrup,1/4,oz,#42
Bitters,1,ds,#42
Cachaca,1 1/2,oz,46th & 5th
Sweet Vermouth,1 1/2,oz,46th & 5th
Benedictine,1/4,oz,46th & 5th
Grapefruit Bitters,2,ds,46th & 5th
Bourbon,1,oz,#47
Aperol,1,oz,#47
Apple Brandy,1,oz,#47
Cognac,1 1/2,oz,53 Souvenirs
Pedro Ximenez Sherry,1/2,oz,53 Souvenirs
Walnut Oil,4,dr,53 Souvenirs
Chocolate Bitters,2,ds,53 Souvenirs
Bitters,1,ds,53 Souvenirs
Lemon Peel,1,twst,53 Souvenirs
Bourbon,1 1/2,oz,65th Street
Dry Vermouth,3/4,oz,65th Street
Aperol,3/4,oz,65th Street
Rum,1/2,oz,65th Street
Bitters,1,ds,65th Street
Gin,1,oz,69 Holland
Genever,1,oz,69 Holland
Amaro Meletti,3/4,oz,69 Holland
Amontillado Sherry,1/2,oz,69 Holland
Peach Bitters,2,ds,69 Holland
Grapefruit Peel,1,twst,69 Holland
Cognac,1 3/8,oz,#69(sixty nine)
Rye,1 3/8,oz,#69(sixty nine)
Vodka,1,oz,#69(sixty nine)
Ginger Syrup,1,oz,#69(sixty nine)
Cinnamon,3,ds,#69(sixty nine)
Bitters,2,ds,#69(sixty nine)
Bitters,1,ds,#69(sixty nine)
Soda Water,2,oz,#69(sixty nine)
Mezcal,1 1/2,oz,'81
Pear Eau De Vie,1/2,oz,'81
Manzanilla Sherry,3/4,oz,'81
Aromatized Wine,3/4,oz,'81
Bitters,1,ds,'81
Lemon Peel,1,twst,'81
Vodka,1/2,oz,86 Long Island Iced Tea
Gin,1/2,oz,86 Long Island Iced Tea
Tequila,1/2,oz,86 Long Island Iced Tea
Light Rum,1/2,oz,86 Long Island Iced Tea
Lemon Juice,3/4,oz,86 Long Island Iced Tea
Simple Syrup,3/4,oz,86 Long Island Iced Tea
Cola,1,spl,86 Long Island Iced Tea
Lemon,1,wdg,86 Long Island Iced Tea
Reposado Tequila,2,oz,92 Siestas
Ginger Liqueur,1,oz,92 Siestas
Lemon Juice,1,oz,92 Siestas
Agave Syrup,1,t,92 Siestas
Bitters,2,ds,92 Siestas
Lemon Peel,1,twst,92 Siestas
Anejo Rum,1 3/4,oz,100-Year-Old Cigar
Islay Scotch,1/4,oz,100-Year-Old Cigar
Cynar,1/2,oz,100-Year-Old Cigar
Benedictine,1/2,oz,100-Year-Old Cigar
Absinthe,1,rinse,100-Year-Old Cigar
Pimm's No. 1 Cup,1 1/2,oz,100 Year War
Ginger-Honey Syrup,1/2,oz,100 Year War
Lemon Juice,1/2,oz,100 Year War
Brut Champagne,1 1/2,oz,100 Year War
Sorel,1/2,oz,100 Year War
Gin,1 1/2,oz,The 114
Maraschino Liqueur,3/4,oz,The 114
Grapefruit Juice,3/4,oz,The 114
Lime Juice,1/2,oz,The 114
Sea Salt,2,pn,The 114
Gin,2,oz,131
Herbal Liqueur,1/2,oz,131
Simple Syrup,1/2,oz,131
Lime Juice,3/4,oz,131
Mint,2,spg,131
Tonic Water,1,oz,131
Club Soda,1,oz,131
Peychaud's Bitters,1,ds,131
Overproof Rum,1 1/2,oz,151 Swizzle
Lime Juice,1/2,oz,151 Swizzle
Simple Syrup,1/2,oz,151 Swizzle
Absinthe,6,dr,151 Swizzle
Bitters,1,ds,151 Swizzle
Ice,8,oz,151 Swizzle
Nutmeg,1,pn,151 Swizzle
Cinnamon Stick,1,un,151 Swizzle
Reposado Tequila,1 1/2,oz,209 East
Triple Sec,3/4,oz,209 East
Creme De Fraise,1/2,oz,209 East
Lime Juice,3/4,oz,209 East
Reposado Tequila,2,oz,212
Grapefruit Juice,2,oz,212
Aperol,1,oz,212
Orange Peel,1,twst,212
Cognac,1,oz,221b
Gin,1,oz,221b
Ruby Port,1/2,oz,221b
Benedictine,2,bsp,221b
Bitters,1,ds,221b
Tea,1,bsp,221b
Reposado Tequila,1,oz,.312 Cocktail
Campari,1,oz,.312 Cocktail
Lime Juice,1/2,oz,.312 Cocktail
Club Soda,4,oz,.312 Cocktail
Rye,1,oz,(500) Days of Autumn
Applejack,1,oz,(500) Days of Autumn
Benedictine,1/4,oz,(500) Days of Autumn
Lemon Juice,1/2,oz,(500) Days of Autumn
Cinnamon Syrup,1/2,oz,(500) Days of Autumn
Bitters,2,ds,(500) Days of Autumn
Genever,1 1/2,oz,606
Sweet Vermouth,1/2,oz,606
Fernet Branca,1/2,oz,606
Orange Peel,1,twst,606
Aquavit,1,oz,The 866
Grapefruit Juice,1,oz,The 866
Campari,1,oz,The 866
Dill,1,spg,The 866
Salt,1,pn,The 866
Gin,2,oz,1022 Martini
Aromatized Wine,1/2,oz,1022 Martini
Eau De Vie Of Douglas Fir,1/2,oz,1022 Martini
Rye,1 1/2,oz,1492
Campari,3/4,oz,1492
Sweet Vermouth,3/4,oz,1492
Bitters,1,ds,1492
Bitters,1,ds,1492
Salt,1,pn,1492
Lemon Peel,1,twst,1492
Curacao,1 1/2,oz,1682
Bonal Gentiane Quina,1,oz,1682
Bianco Vermouth,1/2,oz,1682
Cranberry Bitters,1,ds,1682
Orange Peel,1,twst,1682
Jamaican Rum,3/4,oz,1790
Cognac,3/4,oz,1790
Sweet Vermouth,1,oz,1790
Orgeat,1/2,oz,1790
Bitters,2,ds,1790
Lemon Peel,1,twst,1790
Rye,1 1/2,oz,1794
Sweet Vermouth,3/4,oz,1794
Campari,3/4,oz,1794
Bitters,1,ds,1794
Orange Peel,1,un,1794
Rye,1 1/2,oz,1795
Campari,1/2,oz,1795
Aperol,1/2,oz,1795
Sweet Vermouth,1/2,oz,1795
Sweet Vermouth,1/2,oz,1795
Bitters,3,ds,1795
Scotch,2,oz,1815 Sutherland Highlanders
Fernet Branca,1/2,oz,1815 Sutherland Highlanders
Peychaud's Bitters,2,ds,1815 Sutherland Highlanders
Sugar Cube,1,cube,1815 Sutherland Highlanders
Absinthe,1,rinse,1815 Sutherland Highlanders
Tequila,2,oz,1818
Aromatized Wine,3/4,oz,1818
Chinato,3/4,oz,1818
Lime Juice,3/4,oz,1818
Cherry Liqueur,1/2,oz,1818
Oloroso Sherry,1,oz,1818 Cocktail
Indian Rum,1,oz,1818 Cocktail
Sweet Vermouth,3/4,oz,1818 Cocktail
Benedictine,1/4,oz,1818 Cocktail
Bitters,1,ds,1818 Cocktail
Orange Peel,1,twst,1818 Cocktail
Scotch,3/4,oz,1872
Barbados Rum,3/4,oz,1872
Sweet Vermouth,1,oz,1872
Amaro,1/2,oz,1872
Bitters,1,ds,1872
Orange Peel,1,twst,1872
Cognac,1 1/2,oz,1903
Singani,1/2,oz,1903
Fino Sherry,3/4,oz,1903
Orgeat,1/4,oz,1903
Bitters,1,ds,1903
Rum,3/4,oz,1919
Rye,3/4,oz,1919
Benedictine,1/2,oz,1919
Sweet Vermouth,1,oz,1919
Bitters,1,ds,1919
Gin,1 1/2,oz,The 2020
Creme De Violette,3/4,oz,The 2020
Averna,1/2,oz,The 2020
Orange Juice,1,oz,The 2020
Sherry Vinegar,1/8,oz,The 2020
Aztec Chocolate Bitters,3,ds,The 2020
Clairin,1 1/4,oz,2020 is coming
Mirto,1/2,oz,2020 is coming
Herbal Liqueur,1/3,oz,2020 is coming
Amer Picon,1/4,oz,2020 is coming
Islay Scotch,3/4,oz,2020 is coming
Pineapple Juice,1 1/4,oz,2020 Visions
Orange Liqueur,1,oz,2020 Visions
Grenadine,3/4,oz,2020 Visions
Lemon Juice,3/4,oz,2020 Visions
Cynar,1/2,oz,2020 Visions
Bourbon,1 1/2,oz,5000 Rupees
Maraschino Liqueur,3/4,oz,5000 Rupees
White Creme De Cacao,1/2,oz,5000 Rupees
Amaro Nonino,1/4,oz,5000 Rupees
Maraschino Cherry,1,un,5000 Rupees
Mezcal,1,oz,À la Diable
Cassis,1/2,oz,À la Diable
Lime Juice,1/2,oz,À la Diable
Ginger Syrup,1/4,oz,À la Diable
Sparkling Rose Wine,4,oz,À la Diable
Lemon Peel,1,twst,À la Diable
Irish Whiskey,1 1/2,oz,Aaron A Aaronson
Walnut Liqueur,3/4,oz,Aaron A Aaronson
Ginger Liqueur,1/4,oz,Aaron A Aaronson
Bitters,3,dr,Aaron A Aaronson
Bitters,2,dr,Aaron A Aaronson
Lemon Peel,1,twst,Aaron A Aaronson
Calvados,1 3/4,oz,Aaron Awesome
Lime Juice,1/2,oz,Aaron Awesome
Cherry Liqueur,1/2,oz,Aaron Awesome
Simple Syrup,1/2,oz,Aaron Awesome
Apple Cider,2,oz,Aaron Awesome
Gin,2,oz,Aaron's Slow Drip
Nocino,3/4,oz,Aaron's Slow Drip
Jam,1,T,Aaron's Slow Drip
Lemon Juice,1/4,oz,Aaron's Slow Drip
Ginger Liqueur,1,oz,Ab-Duck-Shun
Orange Liqueur,1,oz,Ab-Duck-Shun
Lemon Juice,3/4,oz,Ab-Duck-Shun
Black Pepper,2,pn,Ab-Duck-Shun
Mascarpone Cheese,1,bsp,Ab-Duck-Shun
Absinthe,2,ds,Ab-Duck-Shun
Lavender Bitters,1,ds,Ab-Duck-Shun
Gin,1 1/2,oz,Abbey Cocktail
Orange Juice,1,oz,Abbey Cocktail
Aromatized Wine,3/4,oz,Abbey Cocktail
Bitters,1,ds,Abbey Cocktail
Orange Peel,1,twst,Abbey Cocktail
Gin,1 1/2,oz,ABCDEF
Dry Vermouth,3/4,oz,ABCDEF
Pisco,1/2,oz,ABCDEF
Aperol,1/2,oz,ABCDEF
Campari,1/4,oz,ABCDEF
Fernet Branca,1,rinse,ABCDEF
Blended Scotch,1 1/2,oz,Aberdeen
Fino Sherry,1,oz,Aberdeen
Vanilla Syrup,1/2,oz,Aberdeen
Kummel,1 1/2,oz,About Face
Simple Syrup,1/2,oz,About Face
Gin,1/2,oz,About Face
Lemon Juice,3/4,oz,About Face
Raspberry,3,un,About Face
Egg Yolk,1,un,About Face
Gin,1 1/2,oz,About That Time
Aromatized Wine,1,oz,About That Time
Elderflower Liqueur,1/2,oz,About That Time
Lemon Juice,1,oz,About That Time
Honey Syrup,1/4,oz,About That Time
Lemon Peel,1,twst,About That Time
Irish Whiskey,1,oz,Absalom's Retreat
Herbal Liqueur,1,oz,Absalom's Retreat
Honey Syrup,1/4,oz,Absalom's Retreat
Bitters,2,ds,Absalom's Retreat
Absinthe,2 1/4,oz,Absinthe Cocktail (Frappe)
Anise,1,ds,Absinthe Cocktail (Frappe)
Water,3/4,oz,Absinthe Cocktail (Frappe)
Gomme Syrup,1/2,t,Absinthe Cocktail (Frappe)
Orange Bitters,1,ds,Absinthe Cocktail (Frappe)
Bitters,1,ds,Absinthe Cocktail (Frappe)
Egg White,1,t,Absinthe Cocktail (Frappe)
Lime Peel,1,twst,Absinthe Cocktail (Frappe)
Lemon Peel,1,twst,Absinthe Cocktail (Frappe)
Absinthe,1,oz,Absinthe Colada
Martinique Rum,1/2,oz,Absinthe Colada
Pineapple Juice,1,oz,Absinthe Colada
Coconut Syrup,1,oz,Absinthe Colada
Creme De Menthe,1,t,Absinthe Colada
Mint,1,spg,Absinthe Colada
Absinthe,1 1/2,oz,Absinthe Frappe
Simple Syrup,1/2,oz,Absinthe Frappe
Mint,8,lf,Absinthe Frappe
Soda Water,2,oz,Absinthe Frappe
Absinthe,1,oz,Absinthe Frappe (Jamie Boudreau)
Dimmi,1/2,oz,Absinthe Frappe (Jamie Boudreau)
Creme De Menthe,1/4,oz,Absinthe Frappe (Jamie Boudreau)
Simple Syrup,1/4,oz,Absinthe Frappe (Jamie Boudreau)
Mint,1,spg,Absinthe Frappe (Jamie Boudreau)
Gin,1 1/2,oz,Absinthe Makes the Heart Grow Fonder
Absinthe,1/2,oz,Absinthe Makes the Heart Grow Fonder
Maraschino Liqueur,1/2,oz,Absinthe Makes the Heart Grow Fonder
Grapefruit Juice,3/4,oz,Absinthe Makes the Heart Grow Fonder
Cherry Bitters,3,ds,Absinthe Makes the Heart Grow Fonder
Campari,1,bsp,Absinthe Makes the Heart Grow Fonder
Absinthe,1 1/4,oz,Absinthe Suissesse
Orgeat,1/2,oz,Absinthe Suissesse
Milk,2,oz,Absinthe Suissesse
Whole Egg,1,un,Absinthe Suissesse
Ice,6,oz,Absinthe Suissesse
Absinthe,2,oz,Absinthe Suissesse (Stanley Clisby Arthur)
Dry Vermouth,1,oz,Absinthe Suissesse (Stanley Clisby Arthur)
Sugar,1,t,Absinthe Suissesse (Stanley Clisby Arthur)
Sparkling Water,2,oz,Absinthe Suissesse (Stanley Clisby Arthur)
Egg White,1,un,Absinthe Suissesse (Stanley Clisby Arthur)
Creme De Menthe,1/2,oz,Absinthe Suissesse (Stanley Clisby Arthur)
Benedictine,3/4,oz,Absolution
Maraschino Liqueur,3/4,oz,Absolution
Applejack,3/4,oz,Absolution
Lemon Juice,3/4,oz,Absolution
Absinthe,1,rinse,Absolution
Scotch,1 1/2,oz,Abstract Truth
Amaro,1,oz,Abstract Truth
Amaro,1,oz,Abstract Truth
Grapefruit Peel,1,un,Abstract Truth
Gin,1 1/2,oz,Academy Blues
Grapefruit Liqueur,1,oz,Academy Blues
Amaro,1/2,oz,Academy Blues
Pomegranate Juice,1/2,oz,Academy Blues
Aztec Chocolate Bitters,3,ds,Academy Blues
Raspberry,6,un,Academy Blues
Genever,3/4,oz,The Accidental Creole
Bianco Vermouth,1 1/2,oz,The Accidental Creole
Grapefruit Juice,1,oz,The Accidental Creole
Peychaud's Bitters,1/2,oz,The Accidental Creole
Rye,3/4,oz,The Accidental Hipster
Fernet Branca,3/4,oz,The Accidental Hipster
Maraschino Liqueur,3/4,oz,The Accidental Hipster
Lemon Juice,3/4,oz,The Accidental Hipster
Calvados,2,oz,Accoutrement
Strega,3/4,oz,Accoutrement
Orange Liqueur,1/2,oz,Accoutrement
Lemon Juice,3/4,oz,Accoutrement
Peychaud's Bitters,2,ds,Accoutrement
Cherry,3,un,Accoutrement
Anejo Rum,2,oz,Ace of Clubs
Lime Juice,1/2,oz,Ace of Clubs
Creme De Cacao,1/4,oz,Ace of Clubs
Gin,1 1/2,oz,ACH
Junmai Sake,1,oz,ACH
Cassis,3/4,oz,ACH
Lime Juice,3/4,oz,ACH
Cranberry Bitters,2,ds,ACH
Anejo Rum,2,oz,Acrazes
Sweet Vermouth,3/4,oz,Acrazes
Apple Cider,3/4,oz,Acrazes
Peychaud's Bitters,3,ds,Acrazes
Sage,3,lf,Acrazes
Demerara Sugar,1/4,t,Acrazes
Orange Peel,1,twst,Acrazes
Absinthe,1,rinse,Acrazes
Anejo Rum,2,oz,Across 110th Street
Sweet Vermouth,1,oz,Across 110th Street
Falernum,1/4,oz,Across 110th Street
Bitters,2,ds,Across 110th Street
Maraschino Cherry,1,un,Across 110th Street
Bourbon,2 1/2,oz,Across the Board
Balsamic Vinegar,1/2,t,Across the Board
Sugar,1,t,Across the Board
Rhubarb Bitters,1,ds,Across the Board
Lf Mint,,10,Across the Board
Strawberry,2,part,Across the Board
Mezcal,1 1/2,oz,Across the Border
Averna,1/2,oz,Across the Border
Grapefruit Juice,3/4,oz,Across the Border
Lime Juice,1/3,oz,Across the Border
Ginger Beer,2,oz,Across the Border
Lime,1,wdg,Across the Border
Bourbon,2,oz,Across The River
Gran Classico,1/2,oz,Across The River
Bonal Gentiane Quina,1/2,oz,Across The River
Bitters,2,ds,Across The River
Jamaican Rum,1 1/2,oz,Act of Faith
Pedro Ximenez Sherry,1/2,oz,Act of Faith
Virgin Islands Rum,1/2,oz,Act of Faith
Bitters,1/4,oz,Act of Faith
Orange Peel,1,twst,Act of Faith
Irish Whiskey,1 1/4,oz,Action Bronson
Zwack Unicum Plum,3/4,oz,Action Bronson
Beet Juice,1/4,oz,Action Bronson
Lime Juice,1/2,oz,Action Bronson
Grapefruit Juice,1/2,oz,Action Bronson
Simple Syrup,1/2,oz,Action Bronson
Herbal Liqueur,1 1/2,oz,Ada Lovecraft
Sweet Vermouth,1 1/2,oz,Ada Lovecraft
Fernet Branca,1/8,oz,Ada Lovecraft
Orange Peel,1,twst,Ada Lovecraft
Gin,1 1/2,oz,Adair Hook
Sweet Vermouth,3/4,oz,Adair Hook
Cynar,1/2,oz,Adair Hook
Maraschino Liqueur,1/4,oz,Adair Hook
Orange Bitters,1,ds,Adair Hook
Calvados,1 1/2,oz,Adam and Eve
Amontillado Sherry,3/4,oz,Adam and Eve
Cranberry Syrup,3/8,oz,Adam and Eve
Apple Cider Vinegar,3/8,oz,Adam and Eve
Verjus,1,oz,Adam and Eve
Apple Cider,2 1/5,oz,Adam and Eve
Bitters,2,ds,Adam and Eve
Sparkling White Wine,3,oz,Adam and Eve
Jamaican Rum,3/4,oz,Adam's Words
Herbal Liqueur,3/4,oz,Adam's Words
Ginger Liqueur,3/4,oz,Adam's Words
Lime Juice,3/4,oz,Adam's Words
Bourbon,1,oz,The Adams
Campari,3/4,oz,The Adams
Sweet Vermouth,3/4,oz,The Adams
Kummel,1/4,oz,The Adams
Bitters,1,ds,The Adams
Rye,2,oz,Adderley Cocktail
Lemon Juice,3/4,oz,Adderley Cocktail
Maraschino Liqueur,3/4,oz,Adderley Cocktail
Orange Bitters,2,ds,Adderley Cocktail
Dry Vermouth,1 1/2,oz,The Addington (aka Red and White)
Sweet Vermouth,1 1/2,oz,The Addington (aka Red and White)
Orange Bitters,1,ds,The Addington (aka Red and White)
Lemon Peel,1,twst,The Addington (aka Red and White)
Reposado Tequila,1,oz,Adelita
Aromatized Wine,1,oz,Adelita
Dry Vermouth,1,oz,Adelita
Creme De Violette,1,bsp,Adelita
Lemon Peel,1,twst,Adelita
Rye,1,oz,Adelphi Cocktail
Cognac,1,oz,Adelphi Cocktail
Sweet Vermouth,1,oz,Adelphi Cocktail
Maraschino Liqueur,1/4,oz,Adelphi Cocktail
Absinthe,3,ds,Adelphi Cocktail
Bitters,2,ds,Adelphi Cocktail
Lemon Peel,1,twst,Adelphi Cocktail
Light Rum,1,oz,Adios Amigos
Dry Vermouth,1/2,oz,Adios Amigos
Gin,1/2,oz,Adios Amigos
Cognac,1/2,oz,Adios Amigos
Lime Juice,1/2,oz,Adios Amigos
Blanco Tequila,3/4,oz,Adios my friend
Mezcal,1/2,oz,Adios my friend
Sotol,1/2,oz,Adios my friend
Bacanora,1/2,oz,Adios my friend
Curacao,3/4,oz,Adios my friend
Luxardo Bitter,1/2,oz,Adios my friend
Grapefruit Peel,1,twst,Adios my friend
Gin,2,oz,Adirondack
Gin,1,bsp,Adirondack
Root Liqueur,1,bsp,Adirondack
Blackstrap Bitters,3,dr,Adirondack
Oz White Birch Beer,,12,Adirondack
Virgin Islands Rum,1,oz,Admiral Schley Punch
Bourbon,1,oz,Admiral Schley Punch
Lime,1,un,Admiral Schley Punch
Sugar,1,t,Admiral Schley Punch
Mint,1,spg,Admiral Schley Punch
Pineapple,1,wdg,Admiral Schley Punch
Gin,3/4,oz,Admiralty
Mezcal,3/4,oz,Admiralty
Herbal Liqueur,1/2,oz,Admiralty
Dry Vermouth,3/4,oz,Admiralty
